00:1A:1E:35:7E:60,00:1A:1E:35:7E:61,00:1A:1E:35:7E:62,00:1A:1E:35:7E:63,00:1A:1E:35:7E:64,00:1A:1E:35:7E:C0,00:1A:1E:35:7E:C1,00:1A:1E:35:7E:C2,00:1A:1E:35:7E:C3,00:1A:1E:35:7E:C4,00:1A:1E:35:81:00,00:1A:1E:35:81:01,00:1A:1E:35:81:02,00:1A:1E:35:81:03,00:1A:1E:35:81:04,00:1A:1E:35:9D:60,00:1A:1E:35:9D:61,00:1A:1E:35:9D:62,00:1A:1E:35:9D:63,00:1A:1E:35:9D:65,00:1A:1E:35:9F:00,00:1A:1E:35:9F:01,00:1A:1E:35:9F:02,00:1A:1E:35:9F:03,00:1A:1E:35:9F:04,00:24:6C:60:5C:A0,00:24:6C:60:5C:A1,00:24:6C:60:5C:A2,00:24:6C:60:5C:A3,00:24:6C:60:5C:A5,00:24:6C:93:E1:20,00:24:6C:93:E1:21,00:24:6C:93:E1:22,00:24:6C:93:E1:23,00:24:6C:93:E1:24,00:24:6C:94:8D:50,00:24:6C:94:8D:51,00:24:6C:94:8D:52,00:24:6C:94:8D:53,00:24:6C:94:8D:55,00:24:6C:94:91:50,00:24:6C:94:91:51,00:24:6C:94:91:52,00:24:6C:94:91:53,00:24:6C:94:91:55,00:24:6C:94:91:80,00:24:6C:94:91:81,00:24:6C:94:91:82,00:24:6C:94:91:83,00:24:6C:94:91:84,00:24:6C:96:4C:D0,00:24:6C:96:4C:D1,00:24:6C:96:4C:D2,00:24:6C:96:4C:D3,00:24:6C:96:B0:50,00:24:6C:96:B0:51,00:24:6C:96:B0:52,00:24:6C:96:B0:53,00:24:6C:96:B0:55,00:24:6C:96:B0:90,00:24:6C:96:B0:91,00:24:6C:96:B0:92,00:24:6C:96:B0:93,00:24:6C:96:B0:95,00:24:6C:96:B0:E0,00:24:6C:96:B0:E1,00:24:6C:96:B0:E2,00:24:6C:96:B0:E3,00:24:6C:96:B0:E4,00:C0:CA:26:71:01,00:C0:CA:26:71:02,00:C0:CA:26:71:03,08:BD:43:66:65:A8,64:66:B3:40:22:A0,7C:0E:CE:5F:DC:F0,7C:0E:CE:5F:DC:F1,C2:46:19:87:F9:21,C8:3A:35:0A:E9:78,C8:3A:35:47:75:A8,C8:3A:35:4E:DC:18,C8:3A:35:5D:4E:48,D6:9C:26:27:D9:BB,location
0,0,0,0,0,-64,-64,-64,-62,-62,-89,0,0,-88,0,-62,-63,-67,-61,-61,0,0,0,0,0,-50,-51,-51,-48,-49,0,0,0,0,0,-63,-66,-66,-64,-64,-79,-79,-85,-80,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-55,-55,-56,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C7
0,-82,-81,-82,-80,-72,-72,-71,-73,-77,-66,-67,-62,-62,-66,-54,-54,-54,-53,-49,0,0,0,0,0,-52,-48,-52,-53,-53,0,0,0,0,0,-63,-53,-49,-49,-49,-53,-54,-52,-54,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,-70,-70,-71,-70,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,0,C4
-74,0,-78,-77,-76,0,-81,0,0,-82,-66,-66,-67,-67,-67,-40,-40,-40,-41,-43,0,0,0,0,0,-63,-63,-62,-62,-63,0,0,0,0,0,-62,-60,-60,-60,-59,-68,-70,-67,-68,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-85,-77,-87,-75,0,0,0,0,0,-74,-84,0,0,0,0,0,0,0,0,0,-87,0,C3
-75,-77,-79,-78,-76,0,-83,0,-84,-83,-73,-75,-75,-75,-74,-50,-50,-49,-49,-49,0,0,0,0,0,-64,-63,-64,-62,-63,0,0,0,0,0,-55,-55,-56,-55,-56,-62,-57,-57,-57,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,-91,-91,-73,-88,0,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,C4
0,0,0,0,0,-73,-74,0,-75,-74,-75,-81,-80,-80,-80,-55,-55,-53,-55,-54,0,0,0,0,0,-71,-73,-72,-72,-70,0,0,0,0,0,-45,-45,-46,-44,-46,-79,-79,-78,-73,-81,0,0,0,0,0,0,0,0,0,0,0,-88,-89,0,0,-64,-65,-66,-68,0,0,0,0,0,0,0,0,-87,-86,0,0,0,0,0,0,0,0,C6
0,0,0,0,0,-81,-81,-81,-83,-82,-55,-58,-59,-62,-60,-32,-33,-32,-32,-32,0,0,0,0,0,-61,-65,-61,-61,-58,0,0,0,0,0,-67,-71,0,-68,-66,-74,-74,-73,-72,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,-79,-88,-80,-88,0,0,0,0,0,-72,-83,0,-88,0,0,0,0,0,0,0,0,0,C1
-78,-72,-73,-75,-74,0,0,0,0,0,-76,-75,-77,-76,-76,-49,-51,-50,-49,-49,0,0,0,0,0,-68,-70,-70,-70,-71,0,0,0,0,0,-61,-61,-59,-60,-60,-56,-54,-56,-58,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,-77,0,0,0,0,0,0,-78,0,0,0,-81,0,0,0,0,0,0,0,0,C5
0,0,0,0,0,-77,0,-80,-78,-79,0,0,0,0,0,-78,-81,-81,-79,-80,0,0,0,0,0,-55,-51,-52,-50,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-78,-77,-76,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C8
0,0,0,0,0,-85,-83,-83,0,-85,-73,-74,-78,-71,-75,-45,-46,-46,-44,-45,0,0,0,0,0,-70,-70,-71,-69,-71,0,0,0,0,0,-77,0,-86,-78,-76,-70,-74,-75,-74,-72,-80,-80,-80,-78,-82,0,0,0,0,0,0,0,0,0,0,0,-85,-85,0,0,0,0,0,0,-65,-74,0,0,0,0,0,0,0,-79,-90,0,0,C1
-72,-73,-71,-76,-74,0,-81,0,0,-77,-71,-69,-72,-73,-71,-51,-51,-52,-51,-52,0,0,0,0,0,-66,-66,-68,-65,-65,0,0,0,0,0,-70,-69,-70,-68,-71,-58,-58,-62,-60,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4
