00:1A:1E:35:7E:60,00:1A:1E:35:7E:61,00:1A:1E:35:7E:62,00:1A:1E:35:7E:63,00:1A:1E:35:7E:64,00:1A:1E:35:7E:C0,00:1A:1E:35:7E:C1,00:1A:1E:35:7E:C2,00:1A:1E:35:7E:C3,00:1A:1E:35:7E:C4,00:1A:1E:35:81:00,00:1A:1E:35:81:01,00:1A:1E:35:81:02,00:1A:1E:35:81:03,00:1A:1E:35:81:04,00:1A:1E:35:9D:60,00:1A:1E:35:9D:61,00:1A:1E:35:9D:62,00:1A:1E:35:9D:63,00:1A:1E:35:9D:65,00:1A:1E:35:9F:00,00:1A:1E:35:9F:01,00:1A:1E:35:9F:02,00:1A:1E:35:9F:03,00:1A:1E:35:9F:04,00:24:6C:60:5C:A0,00:24:6C:60:5C:A1,00:24:6C:60:5C:A2,00:24:6C:60:5C:A3,00:24:6C:60:5C:A5,00:24:6C:93:E1:20,00:24:6C:93:E1:21,00:24:6C:93:E1:22,00:24:6C:93:E1:23,00:24:6C:93:E1:24,00:24:6C:94:8D:50,00:24:6C:94:8D:51,00:24:6C:94:8D:52,00:24:6C:94:8D:53,00:24:6C:94:8D:55,00:24:6C:94:91:50,00:24:6C:94:91:51,00:24:6C:94:91:52,00:24:6C:94:91:53,00:24:6C:94:91:55,00:24:6C:94:91:80,00:24:6C:94:91:81,00:24:6C:94:91:82,00:24:6C:94:91:83,00:24:6C:94:91:84,00:24:6C:96:4C:D0,00:24:6C:96:4C:D1,00:24:6C:96:4C:D2,00:24:6C:96:4C:D3,00:24:6C:96:B0:50,00:24:6C:96:B0:51,00:24:6C:96:B0:52,00:24:6C:96:B0:53,00:24:6C:96:B0:55,00:24:6C:96:B0:90,00:24:6C:96:B0:91,00:24:6C:96:B0:92,00:24:6C:96:B0:93,00:24:6C:96:B0:95,00:24:6C:96:B0:E0,00:24:6C:96:B0:E1,00:24:6C:96:B0:E2,00:24:6C:96:B0:E3,00:24:6C:96:B0:E4,00:C0:CA:26:71:01,00:C0:CA:26:71:02,00:C0:CA:26:71:03,08:BD:43:66:65:A8,64:66:B3:40:22:A0,7C:0E:CE:5F:DC:F0,7C:0E:CE:5F:DC:F1,C2:46:19:87:F9:21,C8:3A:35:0A:E9:78,C8:3A:35:47:75:A8,C8:3A:35:4E:DC:18,C8:3A:35:5D:4E:48,D6:9C:26:27:D9:BB,location
-91,-89,-89,0,-91,0,-85,-83,-83,-87,-68,-69,-68,-68,-64,-35,-35,-35,-34,-34,0,0,0,0,0,-74,-73,-75,-71,-73,0,0,0,0,0,-69,-74,-73,-73,-72,-78,-77,-77,0,-74,0,0,0,-90,-88,0,0,0,0,0,0,0,0,0,-81,-86,-86,-79,-80,0,0,0,0,0,-68,0,0,-87,0,0,0,0,0,-91,-91,0,0,C1
0,0,0,0,0,0,0,0,0,0,-61,-63,-59,-63,-64,-38,-38,-37,-38,-39,0,0,0,0,0,-69,-68,-67,-68,-67,0,0,0,0,0,-68,-68,-67,-67,-67,-77,0,0,-78,-75,0,0,-88,-88,-85,0,0,0,0,0,0,0,0,0,-84,-80,0,-81,-83,0,0,0,0,0,-63,-74,-86,0,0,0,0,0,0,0,0,0,0,C1
0,0,0,0,0,0,0,0,-90,-90,-64,-64,-64,-64,-66,-42,-41,-41,-42,-43,0,0,0,0,0,-79,-78,-77,-79,-78,0,0,0,0,0,-76,-77,-77,-81,-77,-77,-76,-83,-74,-76,0,0,-85,-85,0,0,0,0,0,0,0,0,0,0,-85,-91,-90,-85,-88,0,0,0,0,0,-70,-84,0,-89,0,0,0,0,-85,-91,-93,0,0,C1
-81,-80,-77,-81,-81,-81,-84,-84,-85,-84,-70,-71,-74,-72,-74,-30,-31,-31,-30,-29,0,0,0,0,0,-74,-75,-73,-73,-76,0,0,0,0,0,-69,-71,-72,-72,-71,-68,-68,-68,-69,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-78,-77,-79,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1
0,0,0,0,0,0,0,-89,-90,-88,-78,-79,-77,-76,-79,-32,-33,-33,-32,-34,0,0,0,0,0,-68,-68,-65,-66,-70,0,0,0,0,0,-70,-70,-70,-68,-71,0,0,0,0,0,-85,-86,-88,0,-89,0,0,0,0,0,0,0,0,0,0,-85,-82,-79,-81,0,0,0,0,0,-63,-73,-82,-85,0,0,0,0,-89,-82,0,0,0,C1
-81,-80,-77,-81,-81,-81,-84,-84,-85,-84,-70,-71,-74,-72,-74,-30,-31,-31,-30,-29,0,0,0,0,0,-74,-75,-73,-73,-76,0,0,0,0,0,-69,-71,-72,-72,-71,-68,-68,-68,-69,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-78,-77,-79,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1
-90,0,-91,0,0,0,0,0,-92,0,-55,-55,-56,-57,-58,-35,-34,-34,-34,-33,0,0,0,0,0,-76,-75,-76,-75,-76,0,0,0,0,0,-89,0,0,-82,-83,-89,0,-88,-88,0,0,-84,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,-92,0,0,0,-93,C1
0,0,0,0,0,0,0,-89,-90,-88,-78,-79,-77,-76,-79,-32,-33,-33,-32,-34,0,0,0,0,0,-68,-68,-65,-66,-70,0,0,0,0,0,-70,-70,-70,-68,-71,0,0,0,0,0,-85,-86,-88,0,-89,0,0,0,0,0,0,0,0,0,0,-85,-82,-79,-81,0,0,0,0,0,-63,-73,-82,-85,0,0,0,0,-89,-82,0,0,0,C1
-87,-88,-91,0,-90,0,0,0,-90,-89,-73,-73,-71,-71,-73,-37,-37,-37,-37,-35,0,0,0,0,0,-66,-64,-68,-65,-68,0,0,0,0,0,-75,-77,-77,-77,-76,-81,-82,-82,-81,-81,0,0,0,-88,-89,0,0,0,0,0,0,0,0,0,0,-81,-82,-81,-83,0,0,0,0,0,-81,0,0,0,0,0,0,0,0,-87,-87,0,0,C1
0,0,0,0,0,0,0,0,0,0,-61,-63,-59,-63,-64,-38,-38,-37,-38,-39,0,0,0,0,0,-69,-68,-67,-68,-67,0,0,0,0,0,-68,-68,-67,-67,-67,-77,0,0,-78,-75,0,0,-88,-88,-85,0,0,0,0,0,0,0,0,0,-84,-80,0,-81,-83,0,0,0,0,0,-63,-74,-86,0,0,0,0,0,0,0,0,0,0,C1
